gene_symbol	logFC	P.Value	adj.P.Val	dataset	FDR_lt_0_05
CDK5	-0.528045820806998	0.0026449709840545	0.147636043465557	GSE243023	False
BCL2L12	-0.933611236796977	0.0026546478092354	0.147636043465557	GSE243023	False
CHAF1A	-0.988101392828862	0.0026624401713728	0.147636043465557	GSE243023	False
PTGS2	1.21588539235941	0.0026651386559691	0.147636043465557	GSE243023	False
CRPPA	1.04196332330684	0.0026683828878207	0.147636043465557	GSE243023	False
PHLDB2	0.726633938336293	0.0026742369632912	0.147636043465557	GSE243023	False
VPS13C	0.811824326653582	0.0026825062607881	0.147636043465557	GSE243023	False
DNM2	-0.571232747883853	0.0026876990644394	0.147636043465557	GSE243023	False
AKT2	-0.698647961721457	0.0026975218531896	0.147636043465557	GSE243023	False
SLC2A1	0.682907624206356	0.0027008626486584	0.147636043465557	GSE243023	False
EML3	-0.549316512384876	0.0027202313270906	0.148085379990757	GSE243023	False
TUT1	-0.82502874680449	0.0027511004583164	0.148879793836029	GSE243023	False
ABCF3	-0.583059803943831	0.00275724078022	0.148879793836029	GSE243023	False
KPNA4	0.444819055936788	0.0027762401069103	0.149028150662252	GSE243023	False
TPD52L2	-0.482103118786881	0.0027953388174015	0.149028150662252	GSE243023	False
FRS2	0.670752131838377	0.0028026499006237	0.149028150662252	GSE243023	False
BIRC3	1.05478376088496	0.0028148173476653	0.149028150662252	GSE243023	False
PGD	-0.644549177482984	0.0028160856595818	0.149028150662252	GSE243023	False
SMPD2	-0.893019689647749	0.0028417204663951	0.149214676848891	GSE243023	False
INSYN1	-1.43535503093871	0.0028442385647592	0.149214676848891	GSE243023	False
POLDIP3	-0.422752478360986	0.0028533108424014	0.149214676848891	GSE243023	False
ANPEP	-0.963496884761215	0.0028768910199992	0.149791201834	GSE243023	False
KIFC1	-0.789958880856709	0.0028868890814954	0.149791201834	GSE243023	False
AKAP9	0.546367237039005	0.0029035034693254	0.150067068416538	GSE243023	False
CLTC	0.617533159270304	0.0029458251398361	0.150173852519638	GSE243023	False
