gene_symbol	strict_lodo_FDR_candidate	meta_FDR	GSE243023_logFC	GSE205050_logFC	GSE10723_logFC
RND3	True	6.526816401349976e-06	0.527284902521267	1.06340022735729	0.71952270525
SLC17A5	True	6.526816401349976e-06	0.408465232465368	0.653311032816436	0.6474816575
FABP4	True	6.8217774509282674e-06	1.25368423387273	2.17458835479386	0.761845509499999
TMEM217	True	7.079480204835426e-06	0.726821390872221	0.845616169389371	0.71353420875
ENC1	True	9.201667216264632e-06	0.625189303653952	0.299368882391351	0.703179692
NTN4	True	1.016188709479998e-05	0.619495275506392	1.01071517038261	0.248869276
EMCN	True	1.1137013604570104e-05	0.416619157994278	0.963860364463339	0.35973895725
CACYBP	True	1.2984603966012758e-05	-0.0848590270978509	-0.641599187740646	-0.982825431
CD164	True	1.3146274351748856e-05	0.430850592033618	0.235139198749891	0.79260913
FZD4	True	1.389499594204158e-05	0.233152926829746	0.24720786878329	0.70775667925
GOLGA5	True	1.389499594204158e-05	0.618616056412404	0.181279527647396	0.4467184
HNRNPD	True	1.389499594204158e-05	-0.225849289335171	-0.456823598196955	-0.73814916675
RAD23A	True	1.389499594204158e-05	-0.603445935316544	-0.471875339069405	-0.52693504925
TMEM263	True	1.4559088902454372e-05	0.47834149366583	0.140071660353783	0.8972093185
TRAM1	True	1.4559088902454372e-05	0.438142815737505	0.160447017742023	0.878270858500001
PA2G4	True	1.5851670406871643e-05	-0.40658142106196	-0.450530974524217	-0.92601645225
KCNJ2	True	1.700713227536877e-05	1.3979613763744	1.02491708502409	0.6626486715
DUSP4	True	1.7189517118531773e-05	-0.316748731287873	-0.793664572568293	-0.829077356
CCND2	True	1.75614727453102e-05	0.550959679017705	1.00497132866562	0.54518679925
FYTTD1	True	1.75614727453102e-05	0.364993096227722	0.1969503145861	0.74140719125
ITPR3	True	1.75614727453102e-05	-0.711733849194967	-0.208383324555019	-0.593734642
PDAP1	True	1.75614727453102e-05	-0.522861578485022	-0.337622818109096	-0.55068265725
PRKAR1A	True	1.75614727453102e-05	0.411128408213134	0.31979334563216	0.46824711375
TPBG	True	1.75614727453102e-05	0.671677486331824	0.650846642024965	0.41418865525
DNAJB9	True	1.8860738254419635e-05	0.653584883834193	1.00498299269144	0.83972744425
ODC1	True	1.9487563599193965e-05	-0.756417984428546	-0.47759052442665	-0.39715559575
PON2	True	1.9487563599193965e-05	0.163928873974378	0.47538950857362	0.500313085
P4HA1	True	2.0227954521622348e-05	0.827281811008974	0.0802490590169755	0.86674225475
RRP7A	True	2.1014196006080228e-05	-0.767067955222282	-0.311123639166883	-0.52656877625
ARL6IP5	True	2.178077140525632e-05	0.402448683849868	0.224030604405993	0.73607220675
DRAM1	True	2.178077140525632e-05	0.498829281153004	0.19498739056921	0.63567631175
SCARB1	True	2.178077140525632e-05	-0.603832519054813	-0.801627625770504	-0.30225402525
ADGRL2	True	2.181563007249892e-05	0.552382460484402	0.357186009808565	0.65685771925
ATP6V1A	True	2.181563007249892e-05	0.679324981680566	0.203299617000853	0.77931051275
SH3BGRL	True	2.356448896555628e-05	0.167958841778495	0.367507258195272	0.7410333165
PCDH10	True	2.4521363298432405e-05	0.651510595730058	0.376998917873683	0.758868339625
TTLL12	True	2.4521363298432405e-05	-0.756896688788587	-0.432161109939842	-0.303688754
ADCY3	True	2.5879482890310204e-05	-0.660800243419041	-0.755019477349149	-0.1763430455
PIH1D1	True	2.5879482890310204e-05	-0.378954727720096	-0.375451485436013	-0.622551863
PAM	True	2.7598959545228768e-05	0.310635021002893	0.576443460662532	0.53331575175
FBXO32	True	2.8856127268758103e-05	1.00051383815584	0.370086177405238	0.36723028525
FOSL2	True	2.994431089369667e-05	0.23143629237936	0.385043057169887	0.9172701485
SMOX	True	3.348448845596699e-05	-1.19045357837521	-0.0861829429642347	-0.46206396025
ENO1	True	3.3893565051087736e-05	-0.328151552140566	-0.532507762515957	-0.461587257
RALA	True	3.4246754749603124e-05	0.347757635525792	0.239377759348857	0.5523892035
OSTM1	True	3.4953142285063074e-05	0.433970272291313	0.333218537115794	0.4191643385
